time,force,acc_1,acc_2
0.0,0.28144247,-6.94e-06,-2.6e-06
0.000977,-1.05016623,-1.034e-05,4.4e-07
0.001953,0.74447702,-5.3e-07,3.02e-06
0.00293,0.93798147,7.79e-06,-2.48e-06
0.003906,-1.89226534,2.68e-06,6.1e-07
0.004883,-1.42028564,9.74e-06,-2.83e-06
0.005859,0.12937704,6.11e-06,-2.82e-06
0.006836,-0.32024273,-2.56e-06,-7.3e-07
0.007812,-0.08581296,3.25e-06,-5.12e-06
0.008789,-0.81924164,4.56e-06,-6.5e-06
0.009766,0.84294225,-5.77e-06,-4.79e-06
0.010742,0.75982661,-6.91e-06,-5.08e-06
0.011719,0.15905853,-4.93e-06,-1.95e-06
0.012695,1.17806151,-2.038e-05,9.63e-06
0.013672,0.49641663,-5.29e-06,1.495e-05
0.014648,-0.84013236,-3.93e-06,4.94e-06
0.015625,0.36046434,-9.87e-06,1.346e-05
0.016602,-0.85827704,-1.155e-05,1.342e-05
0.017578,0.91881413,-1.727e-05,3.21e-06
0.018555,-0.0876421,-3.107e-05,5.04e-06
0.019531,-0.25531334,-1.125e-05,5.08e-06
0.020508,-0.65240714,-2.364e-05,1.601e-05
0.021484,1.21973009,-2.499e-05,1.748e-05
0.022461,-0.22643143,-1.176e-05,1.264e-05
0.023438,-0.40676203,-1.195e-05,1.477e-05
0.024414,-0.36567058,-1.433e-05,2.513e-05
0.025391,0.55901142,-1.025e-05,2.39e-05
0.026367,0.38767175,-2.04e-05,2.443e-05
0.027344,0.38212571,-1.322e-05,1.237e-05
0.02832,0.46266477,-4.18e-06,1.445e-05
0.029297,2.11659379,-1.428e-05,4.57e-06
0.030273,-0.42819696,-1.308e-05,7.67e-06
0.03125,-0.5390258,-3.56e-06,3.14e-06
0.032227,-0.75686385,-8e-08,7.89e-06
0.033203,0.60186146,6.31e-06,-4.1e-07
0.03418,1.1980315,-1.59e-06,-4.99e-06
0.035156,-0.02420527,-3.67e-06,-3.56e-06
0.036133,-0.87732768,2.112e-05,-5.17e-06
0.037109,-0.97146116,1.306e-05,-1.154e-05
0.038086,0.70315089,1.849e-05,-4.47e-06
0.039062,0.72604668,1.198e-05,-9.52e-06
0.040039,0.49956911,3.35e-05,-1.9e-05
0.041016,-0.69513309,3.246e-05,-1.783e-05
0.041992,0.21128854,3.447e-05,-1.531e-05
0.042969,0.18195855,3.662e-05,-1.991e-05
0.043945,0.22673508,2.493e-05,-2.642e-05
0.044922,0.93601747,3.321e-05,-2.562e-05
0.045898,0.24846394,3.858e-05,-3.029e-05
0.046875,0.66335355,3.881e-05,-1.968e-05
0.047852,0.0479369,4.341e-05,-1.632e-05
0.048828,0.31737868,4.764e-05,-1.558e-05
0.049805,0.67257077,5.287e-05,-1.768e-05
0.050781,-1.40699876,3.907e-05,-1.934e-05
0.051758,-0.33283143,4.719e-05,-2.715e-05
0.052734,-0.46155657,5.082e-05,-2.553e-05
0.053711,-0.60948984,4.085e-05,-3.2e-05
0.054688,-0.29446278,4.498e-05,-2.997e-05
0.055664,1.43783289,4.93e-05,-3.54e-05
0.056641,-0.90640142,4.866e-05,-2.791e-05
0.057617,0.95614983,5.42e-05,-2.242e-05
0.058594,-1.64954854,5.277e-05,-2.243e-05
0.05957,-0.27153524,5.051e-05,-2.236e-05
0.060547,0.09451888,4.436e-05,-2.187e-05
0.061523,0.55616486,5.059e-05,-2.14e-05
0.0625,0.69321949,4.721e-05,-3.085e-05
0.063477,0.83333616,3.816e-05,-3.006e-05
0.064453,-0.37529877,4.482e-05,-2.622e-05
0.06543,-0.48397526,4.589e-05,-2.841e-05
0.066406,0.78692661,3.136e-05,-3.658e-05
0.067383,-0.16698002,2.819e-05,-2.786e-05
0.068359,-1.28380767,2.496e-05,-1.78e-05
0.069336,-1.16619774,1.558e-05,-1.848e-05
0.070312,-0.93251059,3.206e-05,-9.29e-06
0.071289,0.55386941,1.198e-05,-6.11e-06
0.072266,0.09186139,4.08e-06,-1.23e-05
0.073242,0.64813435,-2.89e-06,-1.029e-05
0.074219,-0.36424125,-3.53e-06,-2.81e-06
0.075195,0.16235256,-1.057e-05,1.66e-06
0.076172,0.65929138,-3.37e-06,1.359e-05
0.077148,-0.28913101,-2.402e-05,9.17e-06
0.078125,0.45499726,-3.103e-05,1.962e-05
0.079102,-0.67945181,-2.396e-05,2.561e-05
0.080078,-0.32121114,-3.329e-05,2.555e-05
0.081055,-0.32325092,-3.942e-05,2.529e-05
0.082031,-1.14128497,-4.003e-05,2.381e-05
0.083008,0.42732139,-4.764e-05,3.111e-05
0.083984,-0.40374124,-5.258e-05,2.498e-05
0.084961,-0.00551663,-6.368e-05,3.158e-05
0.085938,0.44275475,-6.753e-05,3.068e-05
0.086914,0.43801087,-6.333e-05,2.862e-05
0.087891,0.7072062,-6.656e-05,3.862e-05
0.088867,-0.07129017,-5.944e-05,4.271e-05
0.089844,-0.43614896,-7.281e-05,4.43e-05
0.09082,-0.03756817,-6.702e-05,4.13e-05
0.091797,-1.68029687,-6.79e-05,4.32e-05
0.092773,-1.47594351,-7.054e-05,3.817e-05
0.09375,-1.35832685,-7.162e-05,2.811e-05
0.094727,-0.97660445,-7.904e-05,2.288e-05
0.095703,0.39562206,-8.316e-05,1.765e-05
0.09668,-0.97469234,-7.218e-05,2.47e-05
0.097656,-0.3355347,-8.073e-05,3.36e-05
0.098633,1.2750616,-6.962e-05,4.01e-05
0.099609,-0.27615098,-7.827e-05,4.12e-05
0.100586,0.66691929,-7.623e-05,5.699e-05
0.101562,-0.94271066,-7.789e-05,5.238e-05
0.102539,-0.24065935,-7.9e-05,4.932e-05
0.103516,-0.9991038,-8.753e-05,4.431e-05
0.104492,-0.36352763,-9.031e-05,3.937e-05
0.105469,0.92940035,-8.736e-05,3.931e-05
0.106445,-1.72010626,-9.351e-05,3.602e-05
0.107422,0.39458612,-9.573e-05,3.564e-05
0.108398,0.14572186,-0.00010938,4.063e-05
0.109375,-0.68076625,-0.00010599,4.893e-05
0.110352,-1.47305185,-9.455e-05,5.912e-05
0.111328,0.04024331,-8.86e-05,7.258e-05
0.112305,-0.54076659,-9.369e-05,7.899e-05
0.113281,0.11834345,-9.334e-05,7.812e-05
0.114258,0.01723887,-8.029e-05,6.91e-05
0.115234,1.65349266,-8.383e-05,5.723e-05
0.116211,-0.15769678,-7.975e-05,4.961e-05
0.117188,-1.11882308,-8.58e-05,4.769e-05
0.118164,0.1389508,-8.275e-05,3.704e-05
0.119141,0.17701296,-6.879e-05,3.505e-05
0.120117,1.36652005,-6.86e-05,3.899e-05
0.121094,0.77373419,-6.12e-05,3.44e-05
0.12207,0.44151993,-5.245e-05,4.478e-05
0.123047,1.46549287,-3.967e-05,3.363e-05
0.124023,-1.19495958,-2.126e-05,3.903e-05
0.125,-0.55960865,-2.706e-05,3.226e-05
0.125977,-0.92738343,-8.2e-06,1.639e-05
0.126953,-0.36966716,-1.093e-05,8.4e-06
0.12793,-1.41446515,-3.02e-06,-3.83e-06
0.128906,0.56618941,2.6e-06,-1.523e-05
0.129883,-0.25293515,9.57e-06,-3.024e-05
0.130859,-1.36076107,1.833e-05,-4.204e-05
0.131836,-0.98372645,2.708e-05,-3.361e-05
0.132812,0.32732801,3.597e-05,-3.093e-05
0.133789,0.78899698,5.64e-05,-3.123e-05
0.134766,2.04258362,5.724e-05,-2.626e-05
0.135742,2.84554545,6.357e-05,-2.609e-05
0.136719,0.33555759,6.653e-05,-2.304e-05
0.137695,-1.01766045,7.1e-05,-2.167e-05
0.138672,-2.03369933,6.947e-05,-2.865e-05
0.139648,0.36321055,7.472e-05,-5.126e-05
0.140625,-0.83564664,6.315e-05,-5.949e-05
0.141602,-0.44928191,5.274e-05,-7.089e-05
0.142578,-0.69463727,6.667e-05,-5.967e-05
0.143555,-0.1368645,6.744e-05,-5.849e-05
0.144531,1.07413246,7.039e-05,-5.905e-05
0.145508,0.19677781,8.541e-05,-3.816e-05
0.146484,-0.11280945,6.987e-05,-2.629e-05
0.147461,-1.04558772,9.855e-05,-2.026e-05
0.148438,-1.64670449,9.548e-05,-1.389e-05
0.149414,-0.52156297,8.167e-05,-2.28e-05
0.150391,-0.0267594,7.636e-05,-3.922e-05
0.151367,1.74240678,7.49e-05,-5.697e-05
0.152344,0.15339376,6.99e-05,-6.614e-05
0.15332,1.00178511,5.981e-05,-6.706e-05
0.154297,-0.49583351,5.348e-05,-6.461e-05
0.155273,-1.14496376,7.599e-05,-5.37e-05
0.15625,-1.0441368,6.99e-05,-4.053e-05
0.157227,-0.77881099,6.477e-05,-3.773e-05
0.158203,2.11488075,6.233e-05,-2.715e-05
0.15918,-0.89400945,6.132e-05,-1.781e-05
0.160156,0.81801641,5.519e-05,-1.067e-05
0.161133,-0.92177799,2.996e-05,-1.491e-05
0.162109,0.99747427,2.916e-05,-2.286e-05
0.163086,0.39212304,1.773e-05,-2.476e-05
0.164062,-0.1048386,9.48e-06,-2.691e-05
0.165039,-0.02558272,6.29e-06,-1.891e-05
0.166016,-0.68174164,-1.55e-05,-1.305e-05
0.166992,0.45280062,-1.855e-05,1.33e-06
0.167969,-0.41827988,-1.892e-05,5.56e-06
0.168945,-1.16555566,-1.833e-05,2.074e-05
0.169922,-1.28459521,-1.996e-05,3.403e-05
0.170898,0.08968774,-2.266e-05,3.9e-05
0.171875,1.49265411,-4.206e-05,4.671e-05
0.172852,0.14356704,-4.339e-05,3.096e-05
0.173828,-0.2362779,-5.19e-05,3.572e-05
0.174805,0.37615301,-6.02e-05,3.34e-05
0.175781,1.33603849,-6.946e-05,3.386e-05
0.176758,0.18739672,-7.527e-05,4.216e-05
0.177734,-0.46676297,-8.11e-05,4.389e-05
0.178711,1.15802207,-8.247e-05,4.016e-05
0.179688,0.37271995,-7.341e-05,5.824e-05
0.180664,1.4845204,-7.491e-05,6.355e-05
0.181641,0.14469323,-7.561e-05,6.326e-05
0.182617,-1.21872833,-6.852e-05,5.694e-05
0.183594,-1.33692164,-7.424e-05,5.756e-05
0.18457,1.71094135,-8.015e-05,5.073e-05
0.185547,1.77624705,-7.657e-05,4.483e-05
0.186523,-0.17948028,-6.816e-05,2.984e-05
0.1875,-0.33183624,-7.542e-05,3.036e-05
0.188477,1.42768063,-6.337e-05,3.568e-05
0.189453,-1.19866883,-5.781e-05,3.897e-05
0.19043,-0.92849729,-5.472e-05,3.592e-05
0.191406,0.60275702,-4.515e-05,3.758e-05
0.192383,-0.42640573,-4.566e-05,3.315e-05
0.193359,-0.05339611,-2.977e-05,3.047e-05
0.194336,-0.18664522,-3.299e-05,2.081e-05
0.195312,0.36877285,-1.406e-05,1.378e-05
0.196289,1.49379093,-1.614e-05,-6.7e-07
0.197266,0.00376815,-1.323e-05,6.6e-07
0.198242,0.57914199,2.95e-06,-1.101e-05
0.199219,-2.08999645,-3e-06,-5.93e-06
0.200195,-0.01018746,4.49e-06,-1.354e-05
0.201172,-0.85354291,4.15e-06,-1.284e-05
0.202148,-1.25524911,2.789e-05,-2.01e-05
0.203125,-0.84208748,3.57e-05,-2.159e-05
0.204102,-0.28599937,1.875e-05,-2.189e-05
0.205078,0.91495857,2.701e-05,-2.354e-05
0.206055,-1.3674636,3.565e-05,-2.337e-05
0.207031,0.04423154,3.445e-05,-3.353e-05
0.208008,-0.49590713,3.902e-05,-3.593e-05
0.208984,-0.33980051,3.945e-05,-3.491e-05
0.209961,0.97697464,4.275e-05,-3.571e-05
0.210938,0.58465916,3.514e-05,-2.447e-05
0.211914,1.34997169,4.204e-05,-2.256e-05
0.212891,-0.10239082,3.478e-05,-2.676e-05
0.213867,-0.62870076,3.842e-05,-1.322e-05
0.214844,-0.20076362,2.906e-05,-1.304e-05
0.21582,0.21701165,3.451e-05,-2.317e-05
0.216797,0.22892096,3.114e-05,-2.062e-05
0.217773,-1.06095655,3.782e-05,-2.241e-05
0.21875,0.22148721,2.955e-05,-1.698e-05
0.219727,0.24383223,2.894e-05,-1.598e-05
0.220703,2.55258062,2.736e-05,-1.411e-05
0.22168,1.89145829,1.655e-05,-1.618e-05
0.222656,-0.85822984,2.018e-05,-6.99e-06
0.223633,-0.30040535,3.196e-05,2.91e-06
