time,force_1,force_2,acc_1,acc_2,acc_3,acc_4
0.0,0.3047171,-0.3047171,-0.0002234961,-0.0001480519,0.0001402153,0.0002242221
0.005,-1.039984,1.039984,-0.000253874,-0.0001506934,0.0001482658,0.0002674305
0.01,0.7504512,-0.7504512,-0.0002916462,-0.0001859657,0.0001770755,0.000284365
0.015,0.9405647,-0.9405647,-0.0002986561,-0.0001870509,0.0001895409,0.0002908769
0.02,-1.951035,1.951035,-0.0002779753,-0.0001648639,0.0001713089,0.0002688031
0.025,-1.30218,1.30218,-0.000310267,-0.0001881394,0.0001819413,0.0003054428
0.03,0.1278404,-0.1278404,-0.0003968628,-0.0002423009,0.0002357387,0.0003742131
0.035,-0.3162426,0.3162426,-0.0004731129,-0.0002915521,0.0002937353,0.0004675862
0.04,-0.01680116,0.01680116,-0.0005385495,-0.0003366993,0.0003256868,0.0005438723
0.045,-0.8530439,0.8530439,-0.0005981344,-0.0003705818,0.0003685497,0.000609272
0.05,0.879398,-0.879398,-0.0006653653,-0.0004196707,0.0004203941,0.0006845714
0.055,0.7777919,-0.7777919,-0.0007039863,-0.0004331167,0.0004356689,0.0006938534
0.06,0.0660307,-0.0660307,-0.0006725547,-0.0004308836,0.0004319425,0.0006850682
0.065,1.127241,-1.127241,-0.0006456384,-0.0003901434,0.0003903675,0.0006508769
0.07,0.4675093,-0.4675093,-0.0005142805,-0.0003266048,0.0003238306,0.0005312588
0.075,-0.8592925,0.8592925,-0.0003951838,-0.0002441814,0.0002438489,0.0003968435
0.08,0.3687508,-0.3687508,-0.0002563866,-0.0001687323,0.0001729118,0.0002649621
0.085,-0.9588826,0.9588826,-0.0001571551,-9.131277e-05,9.208204e-05,0.0001491898
0.09,0.8784503,-0.8784503,-3.947107e-05,-2.950294e-05,3.186442e-05,4.594696e-05
0.095,-0.04992591,0.04992591,6.705564e-05,4.15074e-05,-4.329246e-05,-7.201472e-05
0.1,-0.1848624,0.1848624,0.0001931455,0.0001215582,-0.0001285642,-0.000197038
0.105,-0.6809295,0.6809295,0.0003250148,0.000191389,-0.0001869881,-0.000311713
0.11,1.222541,-1.222541,0.0003799879,0.0002394723,-0.000244521,-0.0003831121
0.115,-0.1545295,0.1545295,0.000494879,0.0003006397,-0.0003050242,-0.0004895033
0.12,-0.4283278,0.4283278,0.0005767702,0.0003665147,-0.000366011,-0.0005857791
0.125,-0.3521336,0.3521336,0.0006436832,0.0003978301,-0.0003992944,-0.0006321209
0.13,0.5323092,-0.5323092,0.0006896825,0.0004181547,-0.0004083261,-0.0006731343
0.135,0.3654441,-0.3654441,0.0007066938,0.0004423849,-0.0004303841,-0.0007141864
0.14,0.4127326,-0.4127326,0.0007325947,0.0004569314,-0.0004499117,-0.0007354579
0.145,0.430821,-0.430821,0.0007633861,0.0004717016,-0.0004805621,-0.0007642841
0.15,2.141648,-2.141648,0.0008062115,0.0004901934,-0.0004930056,-0.0008044477
0.155,-0.406415,0.406415,0.0009018585,0.0005512693,-0.0005584554,-0.000892966
0.16,-0.5122427,0.5122427,0.0009713449,0.0005917653,-0.0005918165,-0.0009686373
0.165,-0.8137727,0.8137727,0.0009894512,0.0005999403,-0.0006084818,-0.0009909542
0.17,0.6159794,-0.6159794,0.0009414446,0.0005845463,-0.0005892013,-0.0009596081
0.175,1.128972,-1.128972,0.0009150666,0.0005512402,-0.0005565419,-0.0008985066
0.18,-0.1139475,0.1139475,0.0008825205,0.0005527742,-0.0005538264,-0.0009001444
0.185,-0.8401565,0.8401565,0.0008588711,0.0005296359,-0.0005361414,-0.0008602424
0.19,-0.8244812,0.8244812,0.0007568052,0.0004725409,-0.0004773612,-0.0007386591
0.195,0.6505928,-0.6505928,0.0006200123,0.0003866014,-0.0003822512,-0.0006322023
0.2,0.7432542,-0.7432542,0.0004931,0.0003038239,-0.0003058252,-0.0004836305
0.205,0.5431543,-0.5431543,0.0003915379,0.0002381921,-0.0002363553,-0.0003687746
0.21,-0.6655097,0.6655097,0.0002807005,0.0001706602,-0.0001628611,-0.0002863174
0.215,0.2321613,-0.2321613,0.0001634065,9.637121e-05,-0.0001036355,-0.0001632518
0.22,0.1166858,-0.1166858,4.249266e-05,3.972359e-05,-2.385846e-05,-5.658652e-05
0.225,0.2186886,-0.2186886,-8.532881e-05,-3.95794e-05,3.408633e-05,7.433709e-05
0.23,0.8714288,-0.8714288,-0.0001652322,-9.837472e-05,9.479204e-05,0.0001656338
0.235,0.2235955,-0.2235955,-0.0002091005,-0.0001469783,0.0001352145,0.0002306396
0.24,0.6789136,-0.6789136,-0.0002533703,-0.0001554474,0.0001604666,0.0002521953
0.245,0.06757907,-0.06757907,-0.0002677297,-0.0001728452,0.0001609615,0.0002804103
0.25,0.2891194,-0.2891194,-0.0002585202,-0.0001662643,0.0001549581,0.0002432143
0.255,0.6312882,-0.6312882,-0.0002292355,-0.0001348833,0.0001473257,0.0002343282
0.26,-1.457156,1.457156,-0.0001689576,-9.996392e-05,0.0001010193,0.0001797915
0.265,-0.3196712,0.3196712,-0.0001678514,-0.0001101483,0.0001055811,0.0001827188
0.27,-0.4703727,0.4703727,-0.0001930886,-0.0001179852,0.0001068062,0.0001780376
0.275,-0.6388778,0.6388778,-0.0002032628,-0.0001316861,0.0001263546,0.0002263102
0.28,-0.2751423,0.2751423,-0.0002551051,-0.0001727503,0.000159804,0.0002596976
0.285,1.494941,-1.494941,-0.0003053672,-0.0001878324,0.000183916,0.0002874742
0.29,-0.8658311,0.8658311,-0.0002975849,-0.0001823979,0.0001941588,0.0003039697
0.295,0.9682784,-0.9682784,-0.0003066252,-0.0001889725,0.000184494,0.0003047526
0.3,-1.68287,1.68287,-0.0002637957,-0.000181901,0.0001698551,0.0002851872
0.305,-0.334885,0.334885,-0.0003098911,-0.0001881844,0.0001839859,0.0003118228
0.31,0.1627531,-0.1627531,-0.0003361457,-0.0002010452,0.000212996,0.0003430308
0.315,0.5862223,-0.5862223,-0.0003549732,-0.0002156305,0.0002139283,0.0003425689
