time,force_1,force_2,acc_1,acc_2,acc_3,acc_4
0.0,0.3047171,0.3047171,-0.002605332,-0.001425473,-0.001438235,-0.002601247
0.005,-1.039984,-1.039984,-0.002773263,-0.001949938,-0.001966884,-0.002792029
0.01,0.7504512,0.7504512,-0.002892135,-0.002528338,-0.00251557,-0.002884632
0.015,0.9405647,0.9405647,-0.002840235,-0.003128401,-0.003110974,-0.002857484
0.02,-1.951035,-1.951035,-0.002683553,-0.003740458,-0.003697227,-0.002677929
0.025,-1.30218,-1.30218,-0.002574297,-0.004325842,-0.004323287,-0.002574972
0.03,0.1278404,0.1278404,-0.002529368,-0.004824559,-0.004813454,-0.002555614
0.035,-0.3162426,-0.3162426,-0.002505799,-0.00534206,-0.005318181,-0.00249861
0.04,-0.01680116,-0.01680116,-0.00252739,-0.00570371,-0.005702065,-0.002494443
0.045,-0.8530439,-0.8530439,-0.002573053,-0.00600113,-0.006002018,-0.00258278
0.05,0.879398,0.879398,-0.002715804,-0.006198433,-0.006193377,-0.002731712
0.055,0.7777919,0.7777919,-0.002871035,-0.00628497,-0.006284425,-0.002897747
0.06,0.0660307,0.0660307,-0.00304372,-0.006305337,-0.006281634,-0.003010787
0.065,1.127241,1.127241,-0.003204778,-0.006202012,-0.006217116,-0.003171274
0.07,0.4675093,0.4675093,-0.003312544,-0.006013954,-0.006045884,-0.00328679
0.075,-0.8592925,-0.8592925,-0.003391702,-0.005815089,-0.005827862,-0.003366101
0.08,0.3687508,0.3687508,-0.003488351,-0.005554516,-0.005508908,-0.003497677
0.085,-0.9588826,-0.9588826,-0.00355748,-0.005186887,-0.00518001,-0.003560534
0.09,0.8784503,0.8784503,-0.003600084,-0.00482299,-0.004832018,-0.003551507
0.095,-0.04992591,-0.04992591,-0.003515285,-0.004430186,-0.004457879,-0.003517657
0.1,-0.1848624,-0.1848624,-0.003399736,-0.004081935,-0.004045667,-0.003369331
0.105,-0.6809295,-0.6809295,-0.003139247,-0.003654293,-0.003637765,-0.003132897
0.11,1.222541,1.222541,-0.002866547,-0.003282153,-0.003248364,-0.002868496
0.115,-0.1545295,-0.1545295,-0.002436398,-0.002881641,-0.002916923,-0.002442201
0.12,-0.4283278,-0.4283278,-0.001960795,-0.002524857,-0.002500403,-0.00198188
0.125,-0.3521336,-0.3521336,-0.001474949,-0.002117236,-0.002118422,-0.001476813
0.13,0.5323092,0.5323092,-0.0009994997,-0.001761234,-0.001712498,-0.001005427
0.135,0.3654441,0.3654441,-0.0004923904,-0.001321297,-0.001313593,-0.0004929535
0.14,0.4127326,0.4127326,3.256136e-05,-0.0008989605,-0.0008882315,3.115243e-05
0.145,0.430821,0.430821,0.0005464362,-0.0004212167,-0.0003997736,0.000546983
0.15,2.141648,2.141648,0.00100851,0.0001369499,4.779778e-05,0.001020082
0.155,-0.406415,-0.406415,0.001554329,0.0006164034,0.0006156968,0.001548544
0.16,-0.5122427,-0.5122427,0.001950705,0.001205822,0.001197458,0.001954065
0.165,-0.8137727,-0.8137727,0.00224221,0.001807296,0.001815224,0.002243492
0.17,0.6159794,0.6159794,0.002369902,0.002460444,0.002440027,0.002379322
0.175,1.128972,1.128972,0.002489356,0.003111191,0.003104216,0.00249793
0.18,-0.1139475,-0.1139475,0.002590661,0.003741258,0.003744303,0.002611778
0.185,-0.8401565,-0.8401565,0.002692469,0.004394665,0.004363698,0.002671869
0.19,-0.8244812,-0.8244812,0.002678281,0.004958697,0.004944032,0.002674484
0.195,0.6505928,0.6505928,0.002647267,0.00543195,0.005426827,0.00264534
0.2,0.7432542,0.7432542,0.002658391,0.005889999,0.005868632,0.002638589
0.205,0.5431543,0.5431543,0.002766927,0.006203526,0.006210066,0.002756611
0.21,-0.6655097,-0.6655097,0.002931801,0.006427136,0.006416623,0.002934191
0.215,0.2321613,0.2321613,0.003121103,0.006572431,0.006583273,0.003108804
0.22,0.1166858,0.1166858,0.003347801,0.006604333,0.00662949,0.003325565
0.225,0.2186886,0.2186886,0.003603798,0.006594887,0.006591804,0.003598336
0.23,0.8714288,0.8714288,0.003866865,0.006442638,0.006435173,0.003850746
0.235,0.2235955,0.2235955,0.004171873,0.006297336,0.006273104,0.00412093
0.24,0.6789136,0.6789136,0.004402137,0.006053582,0.006072078,0.004373778
0.245,0.06757907,0.06757907,0.004556983,0.005794523,0.005772099,0.004579795
0.25,0.2891194,0.2891194,0.004671033,0.005533315,0.005541652,0.004677053
0.255,0.6312882,0.6312882,0.004661071,0.005314112,0.005258988,0.004662897
0.26,-1.457156,-1.457156,0.00456203,0.005037957,0.005030554,0.004560338
0.265,-0.3196712,-0.3196712,0.004227599,0.004795164,0.004790104,0.004238675
0.27,-0.4703727,-0.4703727,0.003772675,0.00459116,0.004583095,0.003753719
